storm_id,usa_atcf_id,date,latitude,longitude,wind
Arlene-2017,AL012017,201704160600,35.8,-50.3,55
Arlene-2017,AL012017,201704161200,35.1,-49.5,55
Arlene-2017,AL012017,201704161800,34.4,-48.7,55
Arlene-2017,AL012017,201704170000,33.7,-47.8,50
Arlene-2017,AL012017,201704170600,33.2,-47,45
Arlene-2017,AL012017,201704171200,32.7,-46.1,45
Arlene-2017,AL012017,201704171800,32.3,-45.3,40
Arlene-2017,AL012017,201704180000,32.1,-44.7,40
Arlene-2017,AL012017,201704180600,31.9,-44.4,35
Arlene-2017,AL012017,201704181200,31.6,-44.1,35
Arlene-2017,AL012017,201704181800,31.1,-43.5,30
Arlene-2017,AL012017,201704190000,31.1,-42.6,30
Arlene-2017,AL012017,201704190600,31.3,-41.8,30
Arlene-2017,AL012017,201704191200,31.7,-41.1,30
Arlene-2017,AL012017,201704191800,32.1,-40.4,30
Arlene-2017,AL012017,201704200000,32.8,-39.6,30
Arlene-2017,AL012017,201704200600,33.8,-39.2,35
Arlene-2017,AL012017,201704201200,35.4,-39.6,35
Arlene-2017,AL012017,201704201800,37.3,-40.7,40
Arlene-2017,AL012017,201704210000,39,-43,45
Arlene-2017,AL012017,201704210600,40,-46.3,45
Arlene-2017,AL012017,201704211200,39.9,-49.3,45
Arlene-2017,AL012017,201704211800,38.5,-50.8,40
Arlene-2017,AL012017,201704220000,36.3,-51.2,40
Arlene-2017,AL012017,201704220600,34.7,-50,40
Arlene-2017,AL012017,201704221200,32.8,-48.7,35
Arlene-2017,AL012017,201704221800,31.9,-46.4,30
Bret-2017,AL022017,201706181800,7.5,-49.6,30
Bret-2017,AL022017,201706190000,7.8,-51.7,35
Bret-2017,AL022017,201706190600,8.1,-53.9,35
Bret-2017,AL022017,201706191200,8.6,-56.5,35
Bret-2017,AL022017,201706191800,9.2,-58.9,40
Bret-2017,AL022017,201706200000,9.7,-60.5,40
Bret-2017,AL022017,201706200200,10.1,-61.1,45
Bret-2017,AL022017,201706200600,10.4,-62.1,45
Bret-2017,AL022017,201706200900,10.6,-62.6,45
Cindy-2017,AL032017,201706191800,23.6,-88.6,35
Cindy-2017,AL032017,201706200000,24,-89.2,35
Cindy-2017,AL032017,201706200600,24.4,-89.8,35
Cindy-2017,AL032017,201706201200,25,-90.3,40
Cindy-2017,AL032017,201706201800,25.6,-90.6,45
Cindy-2017,AL032017,201706210000,26.2,-90.9,50
Cindy-2017,AL032017,201706210600,26.8,-91.5,50
Cindy-2017,AL032017,201706211200,27.3,-92.3,50
Cindy-2017,AL032017,201706211800,27.8,-93,45
Cindy-2017,AL032017,201706220000,28.5,-93.4,45
Cindy-2017,AL032017,201706220600,29.4,-93.6,45
Cindy-2017,AL032017,201706220700,29.8,-93.7,45
Cindy-2017,AL032017,201706221200,30.5,-93.8,40
Cindy-2017,AL032017,201706221800,31.6,-93.8,35
Cindy-2017,AL032017,201706230000,32.8,-93.6,30
Cindy-2017,AL032017,201706230600,34.2,-92.8,30
Cindy-2017,AL032017,201706231200,35.5,-90.8,30
Cindy-2017,AL032017,201706231800,36.7,-88.1,25
Cindy-2017,AL032017,201706240000,37.7,-84.4,25
Cindy-2017,AL032017,201706240600,38.9,-78.5,25
Four-2017,AL042017,201707051200,11.8,-35.9,20
Four-2017,AL042017,201707051800,12,-37.1,25
Four-2017,AL042017,201707060000,12.4,-38.6,25
Four-2017,AL042017,201707060600,12.8,-40.3,25
Four-2017,AL042017,201707061200,13.3,-42.2,25
Four-2017,AL042017,201707061800,13.8,-44.1,25
Four-2017,AL042017,201707070000,14.3,-46,25
Four-2017,AL042017,201707070600,14.8,-47.9,25
Four-2017,AL042017,201707071200,15.4,-49.7,25
Don-2017,AL052017,201707170000,10.3,-47.7,25
Don-2017,AL052017,201707170600,10.4,-49.1,30
Don-2017,AL052017,201707171200,10.7,-50.6,35
Don-2017,AL052017,201707171800,11,-52.2,40
Don-2017,AL052017,201707180000,11.2,-53.8,45
Don-2017,AL052017,201707180600,11.3,-55.4,40
Don-2017,AL052017,201707181200,11.4,-57.1,35
Emily-2017,AL062017,201707301800,28.4,-85.4,30
Emily-2017,AL062017,201707310000,28,-84.6,35
Emily-2017,AL062017,201707310600,27.7,-83.9,40
Emily-2017,AL062017,201707311200,27.5,-83.1,45
Emily-2017,AL062017,201707311445,27.5,-82.7,50
Emily-2017,AL062017,201707311800,27.5,-82.2,35
Emily-2017,AL062017,201708010000,27.5,-81.3,30
Emily-2017,AL062017,201708010600,27.8,-80.4,30
Emily-2017,AL062017,201708011200,28.7,-79.5,30
Emily-2017,AL062017,201708011800,29.7,-78.6,30
Emily-2017,AL062017,201708020000,30.7,-78.1,30
Franklin-2017,AL072017,201708061800,15.5,-81.5,30
Franklin-2017,AL072017,201708070000,16.1,-82.7,35
Franklin-2017,AL072017,201708070600,16.7,-83.6,40
Franklin-2017,AL072017,201708071200,17.4,-84.4,45
Franklin-2017,AL072017,201708071800,18.1,-85.3,50
Franklin-2017,AL072017,201708080000,18.8,-86.6,50
Franklin-2017,AL072017,201708080345,19.1,-87.6,50
Franklin-2017,AL072017,201708080600,19.2,-87.9,50
Franklin-2017,AL072017,201708081200,19.6,-88.9,40
Franklin-2017,AL072017,201708081800,19.9,-89.8,35
Franklin-2017,AL072017,201708090000,20.2,-90.9,40
Franklin-2017,AL072017,201708090600,20.4,-92.2,55
Franklin-2017,AL072017,201708091200,20.2,-93.3,60
Franklin-2017,AL072017,201708091800,20.2,-94.4,65
Franklin-2017,AL072017,201708100000,20.3,-95.5,75
Franklin-2017,AL072017,201708100500,20,-96.6,70
Franklin-2017,AL072017,201708100600,20,-96.8,60
Franklin-2017,AL072017,201708101200,19.8,-98.3,25
Gert-2017,AL082017,201708120000,22.4,-66.8,25
Gert-2017,AL082017,201708120600,22.7,-67.8,25
Gert-2017,AL082017,201708121200,23.2,-68.7,25
Gert-2017,AL082017,201708121800,24,-69.4,30
Gert-2017,AL082017,201708130000,24.9,-70,35
Gert-2017,AL082017,201708130600,25.8,-70.6,35
Gert-2017,AL082017,201708131200,26.8,-71.2,35
Gert-2017,AL082017,201708131800,27.7,-71.6,35
Gert-2017,AL082017,201708140000,28.5,-71.9,40
Gert-2017,AL082017,201708140600,29.2,-72.1,45
Gert-2017,AL082017,201708141200,29.7,-72.2,50
Gert-2017,AL082017,201708141800,30.2,-72.3,55
Gert-2017,AL082017,201708150000,30.8,-72.3,60
Gert-2017,AL082017,201708150600,31.5,-72.3,65
Gert-2017,AL082017,201708151200,32.3,-72.1,70
Gert-2017,AL082017,201708151800,33.2,-71.8,70
Gert-2017,AL082017,201708160000,34.2,-71,75
Gert-2017,AL082017,201708160600,35.4,-69.5,80
Gert-2017,AL082017,201708161200,36.8,-67.1,85
Gert-2017,AL082017,201708161800,38.2,-64.1,95
Gert-2017,AL082017,201708170000,39.4,-60.4,90
Gert-2017,AL082017,201708170600,40.7,-56.2,80
Gert-2017,AL082017,201708171200,42.2,-52,60
Gert-2017,AL082017,201708171800,44,-48,50
Gert-2017,AL082017,201708180000,45.9,-44.3,40
Gert-2017,AL082017,201708180600,47.7,-40.5,35
Gert-2017,AL082017,201708181200,48.8,-37.8,35
Gert-2017,AL082017,201708181800,50.5,-36.5,35
Harvey-2017,AL092017,201708160600,13.7,-45.8,25
Harvey-2017,AL092017,201708161200,13.7,-47.4,25
Harvey-2017,AL092017,201708161800,13.6,-49,25
Harvey-2017,AL092017,201708170000,13.6,-50.6,25
Harvey-2017,AL092017,201708170600,13.4,-52,25
Harvey-2017,AL092017,201708171200,13.1,-53.4,30
Harvey-2017,AL092017,201708171800,13,-55,35
Harvey-2017,AL092017,201708180000,13,-56.6,40
Harvey-2017,AL092017,201708180600,13,-58.4,40
Harvey-2017,AL092017,201708181000,13.1,-59.6,40
Harvey-2017,AL092017,201708181200,13.1,-60.3,40
Harvey-2017,AL092017,201708181500,13.2,-61.2,40
Harvey-2017,AL092017,201708181800,13.2,-62.2,35
Harvey-2017,AL092017,201708190000,13.4,-64,35
Harvey-2017,AL092017,201708190600,13.5,-65.7,35
Harvey-2017,AL092017,201708191200,13.7,-67.5,30
Harvey-2017,AL092017,201708191800,13.8,-69.2,30
Harvey-2017,AL092017,201708200000,14,-71,30
Harvey-2017,AL092017,201708200600,14.2,-72.9,30
Harvey-2017,AL092017,201708201200,14.4,-75,30
Harvey-2017,AL092017,201708201800,14.7,-76.8,30
Harvey-2017,AL092017,201708210000,15.1,-78.6,25
Harvey-2017,AL092017,201708210600,15.7,-80.5,25
Harvey-2017,AL092017,201708211200,16.4,-82.5,25
Harvey-2017,AL092017,201708211800,17.3,-84.6,25
Harvey-2017,AL092017,201708220000,18,-86.4,25
Harvey-2017,AL092017,201708220600,18.6,-87.8,25
Harvey-2017,AL092017,201708221200,19.4,-88.8,25
Harvey-2017,AL092017,201708221800,20,-89.7,25
Harvey-2017,AL092017,201708230000,20.5,-90.7,25
Harvey-2017,AL092017,201708230600,20.9,-91.6,25
Harvey-2017,AL092017,201708231200,21.4,-92.3,30
Harvey-2017,AL092017,201708231800,21.6,-92.4,35
Harvey-2017,AL092017,201708240000,22,-92.5,40
Harvey-2017,AL092017,201708240600,22.8,-92.6,50
Harvey-2017,AL092017,201708241200,23.7,-93.1,60
Harvey-2017,AL092017,201708241800,24.4,-93.6,70
Harvey-2017,AL092017,201708250000,25,-94.4,80
Harvey-2017,AL092017,201708250600,25.6,-95.1,90
Harvey-2017,AL092017,201708251200,26.3,-95.8,95
Harvey-2017,AL092017,201708251800,27.1,-96.3,105
Harvey-2017,AL092017,201708260000,27.8,-96.8,115
Harvey-2017,AL092017,201708260300,28,-96.9,115
Harvey-2017,AL092017,201708260600,28.2,-97.1,105
Harvey-2017,AL092017,201708261200,28.7,-97.3,65
Harvey-2017,AL092017,201708261800,29,-97.5,50
Harvey-2017,AL092017,201708270000,29.2,-97.4,45
Harvey-2017,AL092017,201708270600,29.3,-97.6,40
Harvey-2017,AL092017,201708271200,29.1,-97.5,35
Harvey-2017,AL092017,201708271800,29,-97.2,35
Harvey-2017,AL092017,201708280000,28.8,-96.8,35
Harvey-2017,AL092017,201708280600,28.6,-96.5,40
Harvey-2017,AL092017,201708281200,28.5,-96.2,40
Harvey-2017,AL092017,201708281800,28.4,-95.9,40
Harvey-2017,AL092017,201708290000,28.2,-95.4,40
Harvey-2017,AL092017,201708290600,28.1,-95,40
Harvey-2017,AL092017,201708291200,28.2,-94.6,40
Harvey-2017,AL092017,201708291800,28.5,-94.2,45
Harvey-2017,AL092017,201708300000,28.9,-93.8,45
Harvey-2017,AL092017,201708300600,29.4,-93.6,40
Harvey-2017,AL092017,201708300800,29.8,-93.5,40
Harvey-2017,AL092017,201708301200,30.1,-93.4,40
Harvey-2017,AL092017,201708301800,30.6,-93.1,35
Harvey-2017,AL092017,201708310000,31.3,-92.6,30
Harvey-2017,AL092017,201708310600,31.9,-92.2,25
Harvey-2017,AL092017,201708311200,32.5,-91.7,20
Harvey-2017,AL092017,201708311800,33.4,-90.9,25
Harvey-2017,AL092017,201709010000,34.1,-89.6,30
Harvey-2017,AL092017,201709010600,34.9,-88.2,30
Harvey-2017,AL092017,201709011200,36,-87.1,25
Harvey-2017,AL092017,201709011800,36.5,-86.4,20
Harvey-2017,AL092017,201709020000,37.2,-85.6,20
Harvey-2017,AL092017,201709020600,37.9,-84.9,20
Harvey-2017,AL092017,201709021200,38.2,-84.7,15
Irma-2017,AL112017,201708300000,16.1,-26.9,30
Irma-2017,AL112017,201708300600,16.2,-28.3,35
Irma-2017,AL112017,201708301200,16.3,-29.7,45
Irma-2017,AL112017,201708301800,16.3,-30.8,50
Irma-2017,AL112017,201708310000,16.3,-31.7,55
Irma-2017,AL112017,201708310600,16.4,-32.5,65
Irma-2017,AL112017,201708311200,16.7,-33.4,80
Irma-2017,AL112017,201708311800,17.1,-34.2,95
Irma-2017,AL112017,201709010000,17.5,-35.1,100
Irma-2017,AL112017,201709010600,17.9,-36.1,100
Irma-2017,AL112017,201709011200,18.4,-37.3,100
Irma-2017,AL112017,201709011800,18.8,-38.5,100
Irma-2017,AL112017,201709020000,19.1,-39.7,100
Irma-2017,AL112017,201709020600,19.1,-41.1,100
Irma-2017,AL112017,201709021200,18.9,-42.6,95
Irma-2017,AL112017,201709021800,18.7,-44.1,95
Irma-2017,AL112017,201709030000,18.5,-45.5,95
Irma-2017,AL112017,201709030600,18.2,-46.7,95
Irma-2017,AL112017,201709031200,17.9,-47.9,100
Irma-2017,AL112017,201709031800,17.6,-49.2,100
Irma-2017,AL112017,201709040000,17.3,-50.4,100
Irma-2017,AL112017,201709040600,17,-51.5,105
Irma-2017,AL112017,201709041200,16.8,-52.6,110
Irma-2017,AL112017,201709041800,16.7,-53.9,115
Irma-2017,AL112017,201709050000,16.6,-55.1,125
Irma-2017,AL112017,201709050600,16.6,-56.4,135
Irma-2017,AL112017,201709051200,16.7,-57.8,150
Irma-2017,AL112017,201709051800,16.9,-59.2,155
Irma-2017,AL112017,201709060000,17.3,-60.6,155
Irma-2017,AL112017,201709060545,17.7,-61.8,155
Irma-2017,AL112017,201709060600,17.7,-61.9,155
Irma-2017,AL112017,201709061115,18.1,-63.1,155
Irma-2017,AL112017,201709061200,18.1,-63.3,155
Irma-2017,AL112017,201709061630,18.5,-64.4,155
Irma-2017,AL112017,201709061800,18.6,-64.7,150
Irma-2017,AL112017,201709070000,19.2,-66.2,150
Irma-2017,AL112017,201709070600,19.7,-67.6,145
Irma-2017,AL112017,201709071200,20.2,-69,145
Irma-2017,AL112017,201709071800,20.7,-70.4,145
Irma-2017,AL112017,201709080000,21.1,-71.8,140
Irma-2017,AL112017,201709080500,21.5,-73,135
Irma-2017,AL112017,201709080600,21.5,-73.2,135
Irma-2017,AL112017,201709081200,21.8,-74.7,135
Irma-2017,AL112017,201709081800,22,-76,140
Irma-2017,AL112017,201709090000,22.1,-77.2,145
Irma-2017,AL112017,201709090300,22.3,-77.9,145
Irma-2017,AL112017,201709090600,22.4,-78.3,130
Irma-2017,AL112017,201709091200,22.7,-79.3,110
Irma-2017,AL112017,201709091800,23.1,-80.2,95
Irma-2017,AL112017,201709100000,23.4,-80.9,100
Irma-2017,AL112017,201709100600,23.7,-81.3,115
Irma-2017,AL112017,201709101200,24.5,-81.5,115
Irma-2017,AL112017,201709101300,24.7,-81.5,115
Irma-2017,AL112017,201709101800,25.6,-81.7,100
Irma-2017,AL112017,201709101930,25.9,-81.7,100
Irma-2017,AL112017,201709110000,26.8,-81.7,80
Irma-2017,AL112017,201709110600,28.2,-82.2,65
Irma-2017,AL112017,201709111200,29.6,-82.7,50
Irma-2017,AL112017,201709111800,30.9,-83.5,45
Irma-2017,AL112017,201709120000,31.9,-84.4,35
Irma-2017,AL112017,201709120600,32.9,-85.6,25
Irma-2017,AL112017,201709121200,33.8,-86.9,20
Irma-2017,AL112017,201709121800,34.8,-88.1,15
Irma-2017,AL112017,201709130000,35.6,-88.9,15
Irma-2017,AL112017,201709130600,36.2,-89.5,15
Irma-2017,AL112017,201709131200,36.8,-90.1,15
Jose-2017,AL122017,201709040600,9.3,-33.5,20
Jose-2017,AL122017,201709041200,10,-34.9,25
Jose-2017,AL122017,201709041800,10.6,-36,25
Jose-2017,AL122017,201709050000,11.1,-37,25
Jose-2017,AL122017,201709050600,11.6,-37.9,30
Jose-2017,AL122017,201709051200,12,-38.8,35
Jose-2017,AL122017,201709051800,12.2,-40,40
Jose-2017,AL122017,201709060000,12.2,-41.3,45
Jose-2017,AL122017,201709060600,12.5,-42.6,50
Jose-2017,AL122017,201709061200,13.1,-43.9,55
Jose-2017,AL122017,201709061800,13.7,-45.2,65
Jose-2017,AL122017,201709070000,14.1,-46.7,70
Jose-2017,AL122017,201709070600,14.4,-48.3,80
Jose-2017,AL122017,201709071200,14.7,-49.9,90
Jose-2017,AL122017,201709071800,15.1,-51.5,100
Jose-2017,AL122017,201709080000,15.5,-53.2,105
Jose-2017,AL122017,201709080600,15.9,-54.9,115
Jose-2017,AL122017,201709081200,16.1,-56.4,130
Jose-2017,AL122017,201709081800,16.4,-57.8,135
Jose-2017,AL122017,201709090000,16.7,-58.9,135
Jose-2017,AL122017,201709090600,17.2,-59.9,130
Jose-2017,AL122017,201709091200,17.9,-60.8,125
Jose-2017,AL122017,201709091800,18.6,-61.8,120
Jose-2017,AL122017,201709100000,19.4,-62.9,115
Jose-2017,AL122017,201709100600,20.3,-64,115
Jose-2017,AL122017,201709101200,21.2,-65.3,115
Jose-2017,AL122017,201709101800,22.2,-66.5,105
Jose-2017,AL122017,201709110000,23.3,-67.6,100
Jose-2017,AL122017,201709110600,24.3,-68.6,90
Jose-2017,AL122017,201709111200,25.4,-69.4,85
Jose-2017,AL122017,201709111800,26.5,-69.5,80
Jose-2017,AL122017,201709120000,27.2,-69.4,75
Jose-2017,AL122017,201709120600,27.6,-69.1,70
